"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_553921",0,0,0,0
"NPIL_101111",0.246004947789383,0.265840460166963,0.461367836265079,0.213317627533249
"NPIL_101121",1.4600165221141,2.27860209741188,0.896247956748417,8.71298971815784
"NPIL_101131",0.677884147708627,0,0,0
"NPIL_678831",3.41108826837857,0,0,0.663316040138463
"NPIL_195111",0,0.398523211534114,0.533006670809969,1.0010688477128
"NPIL_698291",0,0,1.21272946355021,0
"NPIL_698301",0.0790534200930182,0.23696638042296,0.325917160221991,0.162096748802812
"NPIL_698311",0.390384346056316,0,0.18807341089573,1.8544622909403
"NPIL_698321",1.32244410704348,1.34662694505447,1.28646592511148,4.41624320902018
"NPIL_698331",0.125347334432839,1.10620895698948,1.35268952703751,0.185249155524323
"NPIL_698341",746.264100867044,445.867976786314,10.0210512822583,312.001348982496
"NPIL_698351",0.847235512264399,0.64318107508957,0.224931396000077,0.127423690493763
"NPIL_698361",0.225206380336613,0.155271871797003,0.379737722238156,0.208018443136501
"NPIL_434501",0,0,0,0
"NPIL_73331",0,0,0,0
"NPIL_446311",0,0,0,0
"NPIL_446321",0,0.0173522829015934,0.00265233019526624,0
"NPIL_622451",0,0,1.68548840696809,0
"NPIL_287001",0,0,0,0
"NPIL_389651",0,0,0.221972803596243,0.243191204448086
"NPIL_375021",0,0,0,0
"NPIL_375031",0.0718634291437659,0,0.0323131814820852,0
"NPIL_341411",0,0,0,0
"NPIL_186881",0,0,0,0
"NPIL_186891",0,0,0,0
"NPIL_186901",0,0,0,0
"NPIL_608391",1.33949203749044,0.75993540369435,0.258128010411725,56.136294430005
"NPIL_608401",0.0268392608683773,0.162841585326215,0.333761029902492,0.0743725988459475
"NPIL_608411",0.155131751470365,0.114088407335281,0.0544957343331418,0.692577844846457
"NPIL_608421",0.0441216365466214,0.0648966726014405,0.396783305780018,0.10867796468104
"NPIL_608431",1.30371436435411,0.756939084152927,0.462798445659649,6.97176413915165
"NPIL_608442",0,0,0,0
"NPIL_608441",0,0,0,0
"NPIL_608451",0.15747909439426,0.0868610337555995,0.132768779721118,0
"NPIL_608461",0.187671983613844,0.414058324792007,0.474672152797695,1.38678962091001
"NPIL_608471",0,0,0.210463102669031,0
"NPIL_608481",0,0,0,0
"NPIL_608482",0,0,0,0
"NPIL_608491",0.139926692770484,0.329767481401819,0.509418307956653,0.387742115563279
"NPIL_608501",0,1.87388411976076,1.61115093447354,0
"NPIL_608511",0.313285104120322,0,0.105650800543019,0.578749851754277
"NPIL_608521",0,0.265275899216897,0.405479372114647,0.888478365690052
"NPIL_608531",0.0404749938842335,0.0701638671635398,0.178744726318227,0.042726753002154
"NPIL_608541",0,0.488603507705432,0.715721633959224,0.0454572481872296
"NPIL_608551",0.460150227703385,1.22471422020032,0.332526228534294,0.836569310143048
"NPIL_608561",0.0686986343278943,0.31542722935361,0.275506660442908,0.0411603228584039
"NPIL_608571",0,0,0,0
"NPIL_608581",0,0,0,0
"NPIL_608591",0,0,0,0
"NPIL_608601",0,0.356976210057306,0.818467621490676,0
"NPIL_608612",0,0,0,0
"NPIL_608611",0,0,0,0
"NPIL_608613",0,0.888176304204014,0.226265792971825,0
"NPIL_80394",0,0,0,0
"NPIL_608621",0,0,0,0
"NPIL_608631",0.261087931400268,0.254353117866606,0.3868778859563,0.150334431925899
"NPIL_608641",6.19169772710242,2.17328752078553,0.440661829138808,4.79071005469673
"NPIL_608651",0.867292953686037,1.91349747891012,0.162489895443002,1.42417855676788
"NPIL_608661",0.775671486782364,0.942617551152516,0.709913301809564,1.26436164248154
"NPIL_608671",0.279667733602099,0.256223236114527,0.357007175938425,0.21891801769449
"NPIL_608681",0,0,1.27492071809124,0
"NPIL_608691",0,0,0.376681121254231,0
"NPIL_608701",0,0.0954205361194523,0.337283086663428,0
"NPIL_608711",0,0,0,0
"NPIL_608712",0,0,0,0
"NPIL_608721",0.356046256777961,0.392770177495667,0.328430515609002,0.572625079716109
"NPIL_608732",0,0,0.0444938774098958,0.0974941025438413
"NPIL_608731",0,0,0,0
"NPIL_608741",0,0,0.989490706578279,0
"NPIL_608751",0,0,0.700308563458571,0
"NPIL_608761",0,0,1.20537958801354,0
"NPIL_608771",0,0,0.958494612155345,0
"NPIL_608781",0.94577650848695,0.397458048311228,0.506268631849902,0.0554662897252094
"NPIL_608791",0,0,0,0
"NPIL_608801",0,0.150425235336287,0.194001664183538,0
"NPIL_608811",0,0.752521616311656,1.04567629874992,0
"NPIL_608821",0.525348026071243,0.407077764289663,0.505239566603282,0.274249117437809
