Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_553921,BMAW01000022.1,AVEN_66035_1,uncharacterized protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_101111,BMAW01000023.1,map2k6,dual specificity mitogen-activated protein kinase kinase 6,49,48,109,23,57.25,36.53651141894457,-0.452283731467152,-0.27508296739555155,1.471662958898916,-0.7442962600362133
NPIL_101121,BMAW01000023.1,U2af50,splicing factor U2AF 50 kDa subunit,217,307,158,701,345.75,244.62948173377086,-0.5172544928669794,-0.2916663743913947,-0.6726194220257414,1.4815402892841154
NPIL_101131,BMAW01000023.1,Unknown,hypothetical protein,2,0,0,0,0.5,1.0,1.5,-0.5000000000000001,-0.5000000000000001,-0.5000000000000001
NPIL_678831,BMAW01000025.1,NCL1_38110,uncharacterized protein,19,0,0,2,5.25,9.215023964519391,1.4719799018113513,-0.6266952312144771,-0.6266952312144771,-0.21858943938239714
NPIL_195111,BMAW01000035.1,Unknown,uncharacterized protein,0,8,14,12,8.5,6.191391873668904,-1.1702951648313233,-0.20498399023959243,0.12076462936276212,1.2545145257081538
NPIL_698291,BMAW01000036.1,Unknown,hypothetical protein,0,0,6,0,1.5,3.0,-0.5,-0.5,1.5,-0.5
NPIL_698301,BMAW01000036.1,AVEN_115995_1,uncharacterized protein,191,519,934,212,464.0,347.3509272575311,-1.1578533145028334,0.34138848442497466,1.1858962869719738,-0.3694314568941152
NPIL_698311,BMAW01000036.1,KAT14,cysteine-rich protein 2-binding protein,7,0,4,18,7.25,7.7190241179396075,-0.25750804636603736,-0.7189682726312324,-0.49665300916549227,1.473129328162762
NPIL_698321,BMAW01000036.1,Unknown,hypothetical protein,26,24,30,47,31.75,10.468205831628136,-0.49739817612098813,-0.4817869044102957,-0.5206239519187638,1.4998090324500475
NPIL_698331,BMAW01000036.1,Unknown,hypothetical protein,5,40,64,4,28.25,29.124731758421397,-0.901834640585106,0.6581896805104926,1.0502079582265524,-0.806562998151939
