Pathway_ID,Pathway_Name,Gene_Count
map01100,Metabolic pathways,1166
ko01100,Metabolic pathways,1166
map01110,Biosynthesis of secondary metabolites,410
ko01110,Biosynthesis of secondary metabolites,410
ko01130,Pathway (ko01130),276
map01130,Pathway (map01130),276
map01120,Pathway (map01120),239
ko01120,Pathway (ko01120),239
ko05200,Pathway (ko05200),232
map05200,Pathway (map05200),232
map00230,Purine metabolism,230
ko00230,Purine metabolism,230
ko04024,Pathway (ko04024),215
map04024,Pathway (map04024),215
ko04080,Pathway (ko04080),197
map04080,Pathway (map04080),197
ko05016,Pathway (ko05016),195
map05016,Pathway (map05016),195
ko04141,Protein processing in endoplasmic reticulum,189
map04141,Protein processing in endoplasmic reticulum,189
ko04714,Pathway (ko04714),185
map04714,Pathway (map04714),185
ko04142,Lysosome,181
map04142,Lysosome,181
map04921,Pathway (map04921),154
ko04921,Pathway (ko04921),154
ko04910,Insulin signaling pathway,152
map04910,Insulin signaling pathway,152
ko01200,Pathway (ko01200),148
map01200,Pathway (map01200),148
ko04022,Pathway (ko04022),145
map04022,Pathway (map04022),145
map05169,Pathway (map05169),139
ko05169,Pathway (ko05169),139
map04010,MAPK signaling pathway,137
ko04010,MAPK signaling pathway,137
map00280,Pathway (map00280),137
ko00280,Pathway (ko00280),137
map05165,Pathway (map05165),135
ko05165,Pathway (ko05165),135
map05205,Pathway (map05205),134
ko05205,Pathway (ko05205),134
map04270,Pathway (map04270),131
ko04270,Pathway (ko04270),131
map05231,Pathway (map05231),130
map04014,Pathway (map04014),130
ko05231,Pathway (ko05231),130
ko04014,Pathway (ko04014),130
map03010,Ribosome,130
ko03010,Ribosome,130
map00240,Pyrimidine metabolism,129
ko00240,Pyrimidine metabolism,129
ko04020,Calcium signaling pathway,129
map04020,Calcium signaling pathway,129
map04015,Pathway (map04015),128
ko04015,Pathway (ko04015),128
ko04144,Endocytosis,125
map04144,Endocytosis,125
ko05010,Pathway (ko05010),123
map05010,Pathway (map05010),123
map04261,Pathway (map04261),123
ko04261,Pathway (ko04261),123
map05166,Pathway (map05166),122
ko05166,Pathway (ko05166),122
ko04151,PI3K-Akt signaling pathway,121
map04151,PI3K-Akt signaling pathway,121
ko04972,Pathway (ko04972),120
map04972,Pathway (map04972),120
map04120,Ubiquitin mediated proteolysis,119
ko04120,Ubiquitin mediated proteolysis,119
ko04152,Pathway (ko04152),117
map04152,Pathway (map04152),117
ko04140,Autophagy - animal,116
map04140,Autophagy - animal,116
ko04212,Pathway (ko04212),115
map04212,Pathway (map04212),115
ko00650,Pathway (ko00650),112
map00650,Pathway (map00650),112
ko04146,Pathway (ko04146),112
map04146,Pathway (map04146),112
ko03013,Pathway (ko03013),112
map03013,Pathway (map03013),112
map05206,Pathway (map05206),111
ko05206,Pathway (ko05206),111
map04530,Pathway (map04530),110
ko04530,Pathway (ko04530),110
ko04510,Focal adhesion,107
ko04750,Pathway (ko04750),107
map04510,Focal adhesion,107
map04750,Pathway (map04750),107
map04911,Pathway (map04911),107
ko04911,Pathway (ko04911),107
map04925,Pathway (map04925),107
ko04925,Pathway (ko04925),107
