Gene ID,protein_id,Preferred_Name,Pfam_Domains,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description
,GFS28098.1,,"BAH,Bromodomain,E1_4HB,E1_FCCH,E1_UFD,SET,ThiF,UBA_e1_thiolCys",126957.SMAR002116-PA,46.2,1.53e-302,1000.0,,,,,histone-lysine N-methyltransferase ASH1L [Nephila pilipes]
,GFS28101.1,,DUF4817,7029.ACYPI29505-PA,43.1,2.86e-38,142.0,,,,,DUF4817 domain-containing protein [Nephila pilipes]
,GFS28102.1,,Spaetzle,6500.XP_005094756.1,49.0,5.430000000000001e-29,112.0,,,,,spaetzle domain-containing protein [Nephila pilipes]
"NPIL_644611,",GFS28147.1,,"RVT_1,rve,zf-CCHC_3",7029.ACYPI50455-PA,38.5,1.2999999999999999e-54,199.0,,,,,"uncharacterized protein NPIL_644611, partial [Nephila pilipes]"
,GFS28179.1,v1g96024,"Orn_Arg_deC_N,Orn_DAP_Arg_deC",45351.EDO44188,48.7,1.58e-127,380.0,,,,,ornithine decarboxylase 1 [Nephila pilipes]
,GFS28189.1,6031136,"BK_channel_a,Ion_trans_2",7176.CPIJ000215-PA,83.7,6.17e-17,79.3,,,,,"potassium channel subfamily T member 1, partial [Nephila pilipes]"
,GFS28261.1,107368421,Metallophos,32264.tetur26g01810.1,39.6,3.97e-61,202.0,,,,,"metallophos domain-containing protein, partial [Nephila pilipes]"
,GFS28289.1,,"RUN,RabGAP-TBC,SH3_1",126957.SMAR010323-PA,76.1,0.0,1255.0,,,,,small G protein signaling modulator 3 homolog [Nephila pilipes]
,GFS28292.1,L798_06399,His_Phos_2,136037.KDR19043,33.1,3.91e-65,233.0,,,,,multiple inositol polyphosphate phosphatase 1 [Nephila pilipes]
,GFS28296.1,G5I_10916,MRP-S28,103372.F4WY59,52.8,3.65e-108,325.0,,,,,"28S ribosomal protein S35, mitochondrial [Nephila pilipes]"
,GFS28299.1,,DUF4371,7029.ACYPI083390-PA,68.5,3.24e-93,290.0,,,,,protein ZBED8 [Nephila pilipes]
,GFS28303.1,,Aa_trans,32264.tetur03g08310.1,52.9,5.66e-141,425.0,,,,,putative sodium-coupled neutral amino acid transporter 7 [Nephila pilipes]
,GFS28305.1,LOC575203,"Inhibitor_I29,Peptidase_C1",7668.SPU_014766-tr,62.6,3.64e-143,414.0,,,,,cathepsin L [Nephila pilipes]
,GFS28307.1,,"Inhibitor_I29,Peptidase_C1",7668.SPU_020838-tr,55.7,5.73e-116,343.0,,,,,cathepsin L [Nephila pilipes]
,GFS28309.1,LOC575203,"Inhibitor_I29,Peptidase_C1",7668.SPU_014766-tr,59.4,1.88e-140,407.0,,,,,cathepsin L [Nephila pilipes]
,GFS28311.1,,"Inhibitor_I29,Peptidase_C1",7668.SPU_020838-tr,52.2,5.26e-59,194.0,,,,,cathepsin L1 [Nephila pilipes]
,GFS28313.1,,Transposase_1,144197.XP_008294028.1,46.3,7.58e-29,118.0,,,,,HTH_48 domain-containing protein [Nephila pilipes]
,GFS28314.1,,Peptidase_C1,8153.XP_005925809.1,77.5,9.91e-37,127.0,,,,,cathepsin L [Nephila pilipes]
,GFS28316.1,LOC575203,"Inhibitor_I29,Peptidase_C1",7668.SPU_014766-tr,58.2,4.13e-137,399.0,,,,,cathepsin L [Nephila pilipes]
,GFS28318.1,v1g181181,"Inhibitor_I29,Peptidase_C1",45351.EDO45852,57.1,3.17e-115,344.0,,,,,cathepsin L [Nephila pilipes]
