Biological_Process,Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,Pfam_Domains,GO_Terms,NPFM1,NPFM2,NPFM3,NPFM4,Mean_FPKM,Protein Description
Detoxification,NPIL_676491,GFT19696.1,107359083,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,5.12834094353483,0.471441407847421,0.0,0.0,1.3999455878455629,hypothetical protein NPIL_676491 [Nephila pilipes]
Detoxification,NPIL_29711,GFU24918.1,,,,p450,,5.36144735005914,0.0,0.0,0.0,1.340361837514785,hypothetical protein NPIL_29711 [Nephila pilipes]
Detoxification,NPIL_67851,GFT37917.1,107368633,,,p450,,3.84625570765112,0.0,0.0,0.0,0.96156392691278,hypothetical protein NPIL_67851 [Nephila pilipes]
Detoxification,NPIL_684011,GFS87503.1,107372143,ko:K07418,"map01100,ko01100,map04750,map00590,map00591,ko00591,ko00590,ko04750,ko04913,map04726,map04212,ko04212,map04913,ko04726",p450,,2.26786411505706,0.909738168260239,0.463517495487825,0.0846375293010236,0.931439327026537,hypothetical protein NPIL_684011 [Nephila pilipes]
Detoxification,NPIL_75891,GFS94477.1,v1g120897,ko:K01832,"map01100,ko01100,map00590,ko00590,ko04611,map04611",p450,,1.58566484413604,0.993872812143967,0.243064628197048,0.399448797773575,0.8055127705626575,uncharacterized protein NPIL_75891 [Nephila pilipes]
Detoxification,NPIL_629541,GFU19782.1,CYP306A1,ko:K10720,"ko00981,map00981",p450,,0.810311178312711,0.828879497484423,1.00611405157388,0.0544340042931514,0.6749346829160413,hypothetical protein NPIL_629541 [Nephila pilipes]
Detoxification,NPIL_466151,GFS86312.1,,,,p450,,0.299370156602287,0.412810369815635,0.904417108392139,0.0,0.40414940870251526,hypothetical protein NPIL_466151 [Nephila pilipes]
Detoxification,NPIL_459741,GFT90521.1,,,,p450,,1.22968037880703,0.165428553259028,0.0758582284745665,0.0277031745197998,0.3746675837651061,uncharacterized protein NPIL_459741 [Nephila pilipes]
Detoxification,NPIL_369991,GFT77162.1,,,,p450,,1.12447816975651,0.0,0.0997930918325309,0.218664645444541,0.36073397675839547,hypothetical protein NPIL_369991 [Nephila pilipes]
Detoxification,NPIL_379601,GFS67711.1,KGM_215781,ko:K00078,"ko00040,map00040,ko00980,map00980","DUF4817,GFO_IDH_MocA,GFO_IDH_MocA_C",,0.0,0.0,0.0,1.34505752583633,0.3362643814590825,hypothetical protein NPIL_379601 [Nephila pilipes]
Detoxification,NPIL_629551,GFU19783.1,,,,p450,,0.411699272953931,0.0454163450491756,0.242969183971316,0.0,0.17502120049360564,hypothetical protein NPIL_629551 [Nephila pilipes]
Detoxification,NPIL_366901,GFU03016.1,107363314,ko:K15001,,p450,,0.0,0.0,0.607174606440707,0.0,0.15179365161017674,hypothetical protein NPIL_366901 [Nephila pilipes]
