Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4,Variance_rlog
NPIL_800071,BMAW01132850.1,MaSp2A3,major ampullate spidroin 2A variant 3,80,3,3,581840,145481.5,290905.6689312419,-0.4999043805709492,-0.5000470821549938,-0.5000485338452223,1.4999999965711652,51.71165094344426
NPIL_170021,BMAW01001106.1,Unknown,flagelliform spidroin-like protein,0,0,1,7906,1976.75,3952.833361442566,-0.500038483435737,-0.500038483435737,-0.4999230309069782,1.4999999977784522,45.85957986993443
NPIL_651241,BMAW01088747.1,Unknown,hypothetical protein,4,0,1,80402,20101.75,40200.16670259797,-0.499967876494004,-0.5000217377787358,-0.5000103853241837,1.4999999995969238,35.70562862321664
NPIL_800261,BMAW01132857.1,MaSp2A2,major ampullate spidroin 2A variant 2,17,0,4,239703,59931.0,119848.00021972276,-0.4999538887378728,-0.5000306710101697,-0.5000154394256238,1.499999999173666,21.564381233601168
NPIL_800181,BMAW01132833.1,Spidroin1A1,spidroin 1A variant 1,43,48,32,458217,114585.0,229088.000097488,-0.499995218870205,-0.4999717067990625,-0.5000330738514214,1.499999999520689,18.784739738992574
NPIL_800251,BMAW01132856.1,Flag1A1,flagelliform spidroin 1A variant 1,5,25,119,345595,86436.0,172772.67381543104,-0.5001231238609039,-0.5000523882046386,-0.499824475756265,1.4999999878218075,17.071254569948227
NPIL_211411,BMAW01071892.1,Unknown,hypothetical protein,0,0,0,4837,1209.25,2418.5,-0.5,-0.5,-0.5,1.5,16.82766474856464
NPIL_327901,BMAW01132841.1,Unknown,hypothetical protein,24,18,44,178990,44769.0,89480.6673570703,-0.5000180507520094,-0.5000431143738712,-0.4999388333926112,1.4999999985184918,16.72868068422402
NPIL_800061,BMAW01132849.1,MaSp2A1,major ampullate spidroin 2A variant 1,151,15,55,2426658,606719.75,1213292.1680088367,-0.499964444513493,-0.5000244301371789,-0.5000111248531313,1.4999999995038034,16.25152658418855
NPIL_467421,BMAW01053122.1,Unknown,hypothetical protein,0,0,3,11509,2878.0,5754.000173792142,-0.5000793075091948,-0.5000793075091948,-0.4998413755463406,1.49999999056473,14.813790820762206
