"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_553921",0,0,0,0
"NPIL_101111",5.45697284378933,5.52573043186546,6.03800366251972,5.334016610235
"NPIL_101121",7.78676314923776,8.1835185528782,7.39180945148196,9.50743564207825
"NPIL_101131",-0.844239565123035,-1.43165803301573,-1.47911720468881,-1.33876030604045
"NPIL_678831",2.76175458490214,-0.0753252324892363,-0.129956044583787,1.28329483627115
"NPIL_195111",1.10644932479277,2.77445851498055,3.01846636215581,3.5783649073558
"NPIL_698291",-1.09494687354034,-1.08770678547736,0.400872629789791,-0.924545885951075
"NPIL_698301",7.8104349214124,8.78716863420319,9.09809746240112,8.43103226639162
"NPIL_698311",2.41776506266555,0.801323071271344,1.87396399423893,3.84759304065558
"NPIL_698321",4.64527781463497,4.66072185903228,4.62181258142977,5.75217322287936
"NPIL_698331",3.01909022780273,4.78878110073371,4.98753249826967,3.28752193006668
"NPIL_698341",15.0593498557171,14.5310620161676,11.7588638336159,14.1791704549783
"NPIL_698351",8.71601086974532,8.43983425936296,7.46336375855214,7.00090251289739
"NPIL_698361",2.78345673343606,2.52206001789469,3.19914447120299,2.72663063426278
"NPIL_434501",0,0,0,0
"NPIL_73331",0,0,0,0
"NPIL_446311",0,0,0,0
"NPIL_446321",-0.707338460708474,0.77937426332045,-0.272911388208763,-0.593103569911027
"NPIL_622451",-1.09494687354034,-1.08770678547736,0.400872629789791,-0.924545885951075
"NPIL_287001",0,0,0,0
"NPIL_389651",-0.47996594417663,-0.471655545488193,0.612103419832016,0.647235156794742
"NPIL_375021",0,0,0,0
"NPIL_375031",2.61982818912717,0.208399141464766,1.91364795768887,0.314506435336609
"NPIL_341411",0,0,0,0
"NPIL_186881",0,0,0,0
"NPIL_186891",0,0,0,0
"NPIL_186901",0,0,0,0
"NPIL_608391",6.24125577887532,5.78834751418481,5.08569590166299,10.1021009430107
"NPIL_608401",2.79291188065969,4.14750532283147,4.82940371649303,3.48887421123725
"NPIL_608411",3.41516726334825,3.17204744824163,2.65720250135809,4.79226118254041
"NPIL_608421",2.07712723029422,2.31525786655627,3.80471097362328,2.68136316264559
"NPIL_608431",4.07355200366084,3.63896540558322,3.30150795730697,5.66357624956745
"NPIL_608442",0,0,0,0
"NPIL_608441",0,0,0,0
"NPIL_608451",1.20121505371206,0.859805561746139,1.09680508860026,0.19186545357506
"NPIL_608461",1.616224380136,2.06267375775849,2.15370928691034,2.98535414066874
"NPIL_608471",-1.23080818302674,-1.20732209537698,-0.170545586031966,-1.07584548770134
"NPIL_608481",0,0,0,0
"NPIL_608482",0,0,0,0
"NPIL_608491",4.71235868304307,5.43183312716079,5.83678271358743,5.57933552497124
