"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_80394",8.87210444443382,99.0213181323155,0,0
"NPIL_80395",0,0,0,0
"NPIL_80396",0,0,0,0
"NPIL_80397",0,0,0,0
"NPIL_80159",3.62094722025479,4.59241978970544,7.21715244334324,17.5049906783007
"NPIL_80160",0,0,0,0
"NPIL_80161",0,2.502343779517,0,0
"NPIL_80398",0,0,20.921425264698,0
"NPIL_80399",0,0,0,0
"NPIL_80400",0,0,0,0
"NPIL_80401",0,0,0,0
"NPIL_80402",0,0,0,0
"NPIL_80403",0,0,0,0
"NPIL_80404",0,0,0,0
"NPIL_80266",29.7573689440637,27.6767659376037,18.4524371899821,39.2228403513244
"NPIL_80267",0,0,0,0
"NPIL_80268",0,0,0,0
"NPIL_80405",0,0,0,0
"NPIL_80406",0,0,0,0
"NPIL_80407",0,0,0,0
"NPIL_80408",0,0,0,0
"NPIL_80409",0,0,0,0
"NPIL_80410",0,0,0,0
"NPIL_80418",0,0,0,0
"NPIL_80417",0,0,0,0
"NPIL_80416",0,0,0,0
"NPIL_80415",0,0,0,0
"NPIL_80414",0,0,0,0
"NPIL_80413",0,0,41.2616998275988,0
"NPIL_80411",0,28.1006443348463,60.2197781267658,0
"NPIL_80412",0,0,20.6308499137994,0
"NPIL_80419",0,0,41.2616998275988,0
"NPIL_80422",20.7015770370122,0,61.8925497413981,0
"NPIL_80421",0,0,20.6308499137994,42.3411312987956
"NPIL_80420",0,57.762435577184,41.2616998275988,0
"NPIL_80423",0,0,0,0
"NPIL_80424",0,0,0,0
"NPIL_80427",0,0,0,0
"NPIL_80426",0,0,0,0
"NPIL_80425",0,0,0,0
"NPIL_80293",0,0,0,0
"NPIL_80151",89.9092288801727,24.166243108108,24.6611155582771,107.129857386881
"NPIL_80152",3477.09225505027,46.0841826611126,1088.07679980834,2360.50160757065
"NPIL_80153",0,0,0,0
"NPIL_80154",9.00310195972076,13.9560247032122,1.99385395140075,2.04601439833106
"NPIL_80428",0,0,0,0
"NPIL_80429",0,0,0,0
"NPIL_80430",0,0,0,0
"NPIL_80431",0,0,17.6835856403995,0
"NPIL_80432",0,0,264.527061908441,0
"NPIL_80433",0,0,406.964710628371,0
"NPIL_80434",0,0,0,0
"NPIL_80435",0,148.531977198473,141.468685123196,0
"NPIL_80436",0,0,0,0
"NPIL_80437",0,0,0,0
"NPIL_80279",0,0,0,0
"NPIL_80280",0,0,0,0
"NPIL_80281",0,0,0,0
"NPIL_80438",0,0,0,0
"NPIL_80439",0,0,0,0
"NPIL_80440",0,85.456754004601,142.43764871993,0
"NPIL_80441",0,58.5759910078486,0,0
"NPIL_80289",5.58663248375143,0,13.3621096892974,4.57055690181902
"NPIL_80442",0,0,0,0
"NPIL_80446",0,0,20.6308499137994,0
"NPIL_80445",0,0,0,0
"NPIL_80444",0,0,0,0
"NPIL_80443",0,0,0,0
"NPIL_80447",0,0,0,0
"NPIL_80448",0,0,0,0
"NPIL_80201",0,0,0,0
"NPIL_80449",0,0,0,0
"NPIL_80292",0,0,0,0
"NPIL_80450",0,0,0,0
"NPIL_80452",0,0,0,0
"NPIL_80451",0,0,0,0
"NPIL_80453",0,0,552.27198230786,0
"NPIL_80455",0,0,0,0
"NPIL_80454",0,0,0,0
"NPIL_80456",0,0,0,0
"NPIL_80457",0,0,0,0
"NPIL_80458",0,0,35.3671712807989,0
"NPIL_80215",0,0,26.7643458341181,0
"NPIL_80459",0,0,0,0
"NPIL_80460",0,0,20.3482355314186,0
"NPIL_80461",0,0,0,0
"NPIL_80463",0,0,0,0
"NPIL_80462",0,57.762435577184,0,0
"NPIL_80464",0,0,0,0
"NPIL_80465",0,0,40.6964710628371,0
"NPIL_80466",0,0,20.921425264698,0
"NPIL_80467",0,0,0,0
"NPIL_80470",0,0,55.7032947672583,0
"NPIL_80469",0,0,0,0
"NPIL_80468",0,0,20.3482355314186,0
"NPIL_80471",0,56.9711693364007,284.87529743986,0
"NPIL_80472",0,57.762435577184,0,0
"NPIL_80474",0,0,0,0
"NPIL_80473",0,28.4855846682003,0,0
"NPIL_80475",0,0,0,0
"NPIL_80476",0,0,0,0
"NPIL_80477",0,0,0,0
"NPIL_80478",0,0,206.308499137994,0
"NPIL_80479",0,0,0,0
"NPIL_80480",0,0,0,0
"NPIL_80481",0,0,0,0
"NPIL_80482",0,0,0,0
"NPIL_80493",0,0,0,0
"NPIL_80492",0,0,0,0
"NPIL_80491",0,0,0,0
"NPIL_80490",0,0,0,0
"NPIL_80489",0,0,0,0
"NPIL_80488",0,0,0,0
"NPIL_80487",0,0,0,0
"NPIL_80483",0,0,0,0
"NPIL_80484",0,0,0,0
"NPIL_80485",0,0,0,0
"NPIL_80486",0,0,0,0
"NPIL_80494",0,0,0,0
"NPIL_80495",0,0,18.5677649224194,0
"NPIL_80496",0,51.9861920194656,0,0
"NPIL_80497",0,0,0,0
"NPIL_80498",0,0,20.3482355314186,0
"NPIL_80499",0,0,0,0
"NPIL_80500",0,0,0,0
