Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_800061,BMAW01132849.1,MaSp2A1,major ampullate spidroin 2A variant 1,151,15,55,2426658,606719.75,1213292.1680088367,-0.499964444513493,-0.5000244301371789,-0.5000111248531313,1.4999999995038034
NPIL_800011,BMAW01132845.1,PySp1A1,pyriform spidroin 1A variant 1,1611556,6719,8522,62,406714.75,803235.7401897963,1.4999866616420456,-0.4968732671829096,-0.4971561186728556,-0.5059572757862804
NPIL_134921,BMAW01065055.1,Unknown,"actin, clone 403",77241,50187,3890,463018,148584.0,211799.34470310964,-0.4198967536253216,-0.4737532329355164,-0.6019694196857183,1.4956194062465564
NPIL_800071,BMAW01132850.1,MaSp2A3,major ampullate spidroin 2A variant 3,80,3,3,581840,145481.5,290905.6689312419,-0.4999043805709492,-0.5000470821549938,-0.5000485338452223,1.4999999965711652
NPIL_800181,BMAW01132833.1,Spidroin1A1,spidroin 1A variant 1,43,48,32,458217,114585.0,229088.000097488,-0.499995218870205,-0.4999717067990625,-0.5000330738514214,1.499999999520689
NPIL_188801,BMAW01126765.1,Unknown,acetylcholinesterase-1,206,752,36,450447,112860.25,225058.0406063808,-0.5003588305135207,-0.4988594856263181,-0.5007811739188298,1.4999994900586686
NPIL_471091,BMAW01039077.1,Unknown,elongation factor 1-alpha,143358,41785,1889,241421,107113.25,107536.31425205473,-0.0794616809085924,-0.5655081985173034,-0.7878963565077619,1.432866235933658
NPIL_465141,BMAW01053525.1,sesB,hypothetical protein,217426,72666,1070,88799,94990.25,90089.27045390404,1.0704791141627776,-0.3730340252691383,-1.2065410730768122,0.5090959841831728
NPIL_676791,BMAW01001293.1,Unknown,soma ferritin,181694,26423,2437,144395,88737.25,87691.77348103983,0.4909627894045605,-0.7212625996626539,-0.9365669770320956,1.1668667872901883
NPIL_578811,BMAW01080242.1,Unknown,elongation factor 1-gamma,208986,34600,2498,105621,87926.25,91488.14510589154,0.9217003389421188,-0.6866452251524083,-1.0261972897213747,0.7911421759316637
NPIL_800251,BMAW01132856.1,Flag1A1,flagelliform spidroin 1A variant 1,5,25,119,345595,86436.0,172772.67381543104,-0.5001231238609039,-0.5000523882046386,-0.499824475756265,1.4999999878218075
NPIL_385611,BMAW01020412.1,sls,titin,92434,11059,5573,202412,77869.5,92038.73421735728,-0.1637193791277134,-0.6265625033619425,-0.6698338630071677,1.460115745496824
NPIL_520791,BMAW01059831.1,Unknown,hypothetical protein,17946,2840,149,287914,77212.25,140686.04753463177,-0.4583439812690948,-0.5147700770403348,-0.526225543113035,1.4993396014224647
NPIL_134961,BMAW01065055.1,Unknown,"actin, clone 403",154653,67139,1584,53435,69202.75,63579.14118312179,1.1396827566678358,-0.1278308613609139,-1.271713240581342,0.2598613452744202
NPIL_44301,BMAW01046075.1,nas-13,zinc metalloproteinase nas-13,90762,179786,194,993,67933.75,85832.7687400525,0.191796473113399,1.3386353642975128,-0.7741229348403952,-0.756308902570517
NPIL_543391,BMAW01075134.1,Pabpc1,polyadenylate-binding protein 1,147165,43680,1469,66743,64764.25,61222.63558181184,0.9979161875781042,-0.4720744385055543,-1.1693022055844735,0.6434604565119236
NPIL_701781,BMAW01053462.1,Unknown,u24-ctenitoxin-Pn1a,172452,80772,175,2044,63860.75,81558.23131715972,1.2968536579102592,0.2779158783671659,-0.8095636806738075,-0.7652058556036175
NPIL_531581,BMAW01021082.1,Unknown,hypothetical protein,237078,3211,2258,17,60641.0,117632.28572405904,1.4998884922518263,-0.4853716623756604,-0.4993003648553654,-0.5152164650208004
NPIL_80134,BMAW01074643.1,Unknown,28S ribosomal RNA,152031,17372,10400,61339,60285.5,65188.13344211251,1.1170700681843733,-0.7685753507514875,-0.9161105903651324,0.5676158729322461
NPIL_585631,BMAW01044825.1,CHIT1,chitotriosidase-1,51776,186926,182,858,59935.5,88041.27119141341,-0.1353380426940493,1.4535325234982737,-0.6664617743699202,-0.6517327064343038
NPIL_800261,BMAW01132857.1,MaSp2A2,major ampullate spidroin 2A variant 2,17,0,4,239703,59931.0,119848.00021972276,-0.4999538887378728,-0.5000306710101697,-0.5000154394256238,1.499999999173666
NPIL_450731,BMAW01057424.1,Unknown,fatty acid-binding protein,177115,50497,341,485,57109.5,83414.71049121571,1.4250480361082865,-0.0335859577171509,-0.6993862018354836,-0.6920758765556518
NPIL_574091,BMAW01034389.1,Unknown,hypothetical protein,177343,47895,44,206,56372.0,83732.32253238093,1.4323706428252494,-0.0576071654610364,-0.6894368192954908,-0.6853266580687222
NPIL_62531,BMAW01097681.1,Unknown,hypothetical protein,213828,8836,869,4,55884.25,105370.84679794818,1.4986706942929908,-0.4401648134225795,-0.5258078589116072,-0.5326980219588042
NPIL_441171,BMAW01016158.1,NCL1_13025,uncharacterized protein,110660,96928,341,510,52109.75,59942.59749891279,0.8956470951115322,0.8358720562697708,-0.8709988869767783,-0.8605202644045248
NPIL_526891,BMAW01000875.1,NCL1_54077,uncharacterized protein,45498,154563,213,1127,50350.25,72618.8996766682,-0.1132445031177872,1.4478589683115035,-0.6791858907996875,-0.6554285743940289
NPIL_327901,BMAW01132841.1,Unknown,hypothetical protein,24,18,44,178990,44769.0,89480.6673570703,-0.5000180507520094,-0.5000431143738712,-0.4999388333926112,1.4999999985184918
NPIL_415781,BMAW01015652.1,HSP90AA1,heat shock protein HSP 90-alpha,90766,16310,903,67710,43922.25,42321.33498504823,0.5441609302847672,-0.6889290671979208,-0.9808933678318794,1.1256615047450331
NPIL_592491,BMAW01028255.1,Unknown,soma ferritin,84689,75174,1774,1293,40732.5,45429.908272708046,0.8845284955814966,0.8472704227806522,-0.8753446792758065,-0.8564542390863418
NPIL_115371,BMAW01113393.1,AVEN_63162_1,DUF3421 domain-containing protein,116511,41309,132,4099,40512.75,53953.480507902976,1.391221672164401,0.0587643847992292,-0.7950616494358054,-0.6549244075278249
NPIL_98691,BMAW01036982.1,VCO3,venom factor,87193,60197,144,1057,37147.75,43618.09533802074,1.083283824102115,0.6168228665297367,-0.8705999751994923,-0.8295067154323589
NPIL_2411,BMAW01010876.1,Unknown,hypothetical protein,125503,3908,507,17004,36730.5,59607.46602286216,1.45759397808239,-0.6184390377119037,-0.6849662837379535,-0.1541886566325323
NPIL_644531,BMAW01073152.1,tef2,translation elongation factor 2,47419,12238,609,84557,36205.75,37882.10660610979,-0.0989000269529439,-0.5787438175493201,-0.7624668201596044,1.4401106646618682
NPIL_419561,BMAW01034514.1,AVEN_260380_1,uncharacterized protein,109261,31964,124,1616,35741.25,51161.64723289638,1.4242800746730202,-0.0323218498001743,-0.7243315110944706,-0.6676267137783752
NPIL_310521,BMAW01008202.1,ALDH1A1,retinal dehydrogenase 1,82369,44221,506,12009,34776.25,36729.05690208594,1.2431505015880446,0.2926581253421882,-1.0757792741195402,-0.4600293528106925
NPIL_526871,BMAW01000875.1,AVEN_61369_1,uncharacterized protein,38974,95479,240,724,33854.25,44912.332830192645,0.0509694084392556,1.396344619897238,-0.7351651325545274,-0.7121488957819665
NPIL_674821,BMAW01047358.1,GstD1,"glutathione S-transferase 1, isoform C",92171,40151,258,763,33335.75,43447.88396362551,1.3234626855978022,0.224288440233088,-0.7875584290747493,-0.7601926967561408
NPIL_326781,BMAW01107497.1,Unknown,hypothetical protein,60319,63314,3445,119,31799.25,34709.06385345668,0.7317284708107623,0.9899059105182668,-0.8244354518464667,-0.8971989294825625
NPIL_14491,BMAW01131232.1,EIF5B,eukaryotic translation initiation factor 5B,79342,20538,1155,22563,30899.5,33705.92925584459,1.2988146250277175,-0.4062970686951605,-1.0585125930187913,0.1659950366862344
NPIL_559891,BMAW01022912.1,Unknown,hypothetical protein,90000,32012,1036,185,30808.25,42147.68713602998,1.3827301063804145,0.0872164389865284,-0.7286755523970998,-0.7412709929698438
NPIL_514471,BMAW01033385.1,rps2,40S ribosomal protein S2,55129,16654,568,49264,30403.75,26116.882284262032,0.3451073772896065,-0.5686782061733423,-1.0134954478764862,1.2370662767602223
NPIL_565721,BMAW01022053.1,Act5C,actin-5C,51781,18343,505,48409,29759.5,24623.244810544365,0.2908878042472956,-0.5202190346931185,-1.02955028106901,1.2588815115148324
NPIL_800051,BMAW01132850.1,MaSp2B1,major ampullate spidroin 2B variant 1,72,0,5,115689,28941.5,57831.67598297667,-0.4995638859565322,-0.5002377478310226,-0.500198294702374,1.499999928489929
NPIL_342781,BMAW01024987.1,HCG,hemocyanin G chain,43337,57964,2580,9804,28421.25,26518.08109416416,0.4196828371256269,1.1752531285034005,-1.0896460389178562,-0.5052899267111708
NPIL_342611,BMAW01024987.1,NCL1_47421,uncharacterized protein,23262,178,119,89978,28384.25,42483.50417416938,-0.302551283716944,-0.5911225007789239,-0.5923239454587503,1.4859977299546183
NPIL_312031,BMAW01060662.1,Unknown,tubulin alpha-1 chain,38406,27719,835,38727,26421.75,17808.29449769592,0.1064315700916333,-0.1624684841909124,-1.1886791727379862,1.244716086837265
NPIL_169331,BMAW01075419.1,Mccc2,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",65349,19402,1735,18354,26210.0,27318.81248029155,1.3000347111340418,-0.3407830714299965,-1.085305105421505,0.1260534657174604
NPIL_698341,BMAW01000036.1,RPL23A,60S ribosomal protein L23a,58264,31556,928,13186,25983.5,24930.821105611423,1.2036906658288056,0.2203919038208432,-1.2062834355651566,-0.2177991340844917
NPIL_137651,BMAW01053296.1,Unknown,hypothetical protein,43705,17556,921,39246,25357.0,19895.78784567226,0.3096301551982914,-0.4739190952830378,-1.072419177012414,1.2367081170971608
NPIL_92251,BMAW01036341.1,AVEN_249514_1,uncharacterized protein,45708,51157,81,156,24275.5,27982.680411282978,0.6760433684651753,1.037081902178976,-0.8602636937718833,-0.8528615768722683
