"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NPIL_800251",135249.500920728,14.2597432636949,2.28484439306432,6.24101287027708,4.34746470928628e-10,5.86951210400741e-06
"NPIL_72651",27743.8117793278,13.5917622411896,2.22130248808002,6.11882547024812,9.42675807274075e-10,6.36353303700365e-06
"NPIL_800061",949526.561925738,14.7072776240673,2.44227529919526,6.02195732353079,1.72320336600645e-09,7.75498954815101e-06
"NPIL_467421",4503.67530719888,28.2660650574885,4.78474976001945,5.90753257227261,3.47269682503075e-09,1.03078749827648e-05
"NPIL_171371",4257.38719058802,28.1913449772814,4.78475055939697,5.89191528948469,3.81744870112022e-09,1.03078749827648e-05
"NPIL_170021",3093.56823890919,27.744233903909,4.78475603269,5.79846364461579,6.69252075195958e-09,1.49172895627702e-05
"NPIL_458401",2877.94369964775,27.6279007867546,4.7847575337912,5.77414855228069,7.73431797195698e-09,1.49172895627702e-05
"NPIL_630111",2168.96038487455,27.2461725060528,4.78476457272132,5.69436010736818,1.23835471371134e-08,1.85766966553519e-05
"NPIL_327901",70050.7680085092,12.8802270137491,2.26171093515902,5.69490416017441,1.23441241791569e-08,1.85766966553519e-05
"NPIL_132491",2289.65046393453,27.042197232561,4.78476305855404,5.65173173710574,1.58839355389228e-08,2.14449013710996e-05
"NPIL_800181",179313.126814998,13.1069614669305,2.32877484151244,5.62826479970822,1.82031494826264e-08,2.23418837422672e-05
"NPIL_211411",1892.57852845362,26.7898395950531,4.78476875249444,5.59898314439686,2.1561275818144e-08,2.42582320683969e-05
"NPIL_800161",31156.9952878401,12.2961888711568,2.21098955736048,5.56139617675815,2.67624876290335e-08,2.77938727291986e-05
"NPIL_244881",20404.0482567997,-9.0273156414915,1.62899636362447,-5.54164259851754,2.99647413916676e-08,2.88967123949217e-05
"NPIL_72661",10070.3199563653,11.6855642527567,2.16085093922135,5.40785300857798,6.37847384225604e-08,5.74105168961992e-05
"NPIL_257271",1656.58950052014,14.3049182901478,2.66837232739799,5.36091539522782,8.2801292817417e-08,6.98687658954966e-05
"NPIL_383561",10162.4083559866,-9.36919072760254,1.75808956180347,-5.3291885300721,9.86525489359035e-08,7.08874462012418e-05
"NPIL_501",2300.4130857524,-8.8731523224147,1.66311433475874,-5.33526296837665,9.54061862837496e-08,7.08874462012418e-05
"NPIL_800071",227675.38368333,13.6545961657766,2.56320355451128,5.32716028024551,9.97601272367671e-08,7.08874462012418e-05
"NPIL_232741",600.992478748142,25.4183541390228,4.78483911383561,5.31226934371197,1.08268420061035e-07,7.30865969622015e-05
"NPIL_275981",3469.57914783565,-9.09583771047047,1.72100296933139,-5.28519582624789,1.25570357823239e-07,8.07297809986453e-05
"NPIL_574091",48840.2539189733,-9.10810616792854,1.75588354636779,-5.18719261694179,2.13487890873768e-07,0.000131013637031215
"NPIL_271031",2110.19600372441,-9.65610916886634,1.88892951261757,-5.11194785425607,3.18853852410184e-07,0.000187167211364778
"NPIL_84021",12783.3253889859,10.8121564252494,2.13644532461322,5.06081587985724,4.17466206222318e-07,0.000234842135425313
"NPIL_564701",408.878346544146,24.0767632466142,4.78488746960585,5.03183479226055,4.8580782813227e-07,0.000262355659504551
"NPIL_634181",188.983963043849,23.8402120648994,4.78506395292081,4.98221388459131,6.28608967794269e-07,0.000314327765710757
"NPIL_92251",21709.1121531287,-8.16444325295166,1.6366091532571,-4.98863350281475,6.08078826511558e-07,0.000314327765710757
"NPIL_145831",2355.83431763554,-7.90531914356395,1.60310784466141,-4.93124599813408,8.17067606897931e-07,0.000393972491454606
"NPIL_140381",4961.57233379001,-8.52409567438527,1.73298777180209,-4.91872811400237,8.71083625163341e-07,0.000405534483563113
"NPIL_52471",1210.32873106701,-8.84913105294702,1.8048663738048,-4.90292864966637,9.44182864471789e-07,0.000424913761774454
"NPIL_285421",1905.57437214227,12.0133660717587,2.46458932382725,4.87438858702152,1.09145961650963e-06,0.000475348267177306
"NPIL_182321",13733.9991878289,-7.94599237036409,1.63347880105202,-4.8644600500763,1.14769684797486e-06,0.000484220473265892
"NPIL_178861",4922.34303702609,-7.90407876563341,1.62730727277215,-4.85715199451463,1.1908618144969e-06,0.000487206829015839
"NPIL_416981",3541.09354420776,-8.0474211276757,1.67169931320675,-4.81391663207581,1.48000569617699e-06,0.000587692850120165
"NPIL_202961",10481.8942863355,-7.93851629307735,1.66116343883956,-4.77888936601143,1.76266145376675e-06,0.000679934065351569
"NPIL_559931",6969.8111360976,-7.73326169433725,1.62273219985159,-4.76558097204488,1.88310252449049e-06,0.00070621575508739
"NPIL_228341",649.023793055248,-9.49589385244232,2.00031563805141,-4.74719772810087,2.06254297983647e-06,0.000732799809757164
"NPIL_176281",9961.93942481904,-7.62805433743836,1.60641941880188,-4.74848240014903,2.04948719236639e-06,0.000732799809757164
"NPIL_701421",146.726679381871,22.6616789482797,4.78515810244169,4.73582658360154,2.18164079583622e-06,0.000755239291912431
"NPIL_133121",2241.82513565967,-7.8593896648834,1.66379002519521,-4.72378698385409,2.31492895106146e-06,0.000760552999324603
"NPIL_44191",3009.08790513184,-7.7294368004349,1.63443694438655,-4.72911287705626,2.25502991645878e-06,0.000760552999324603
"NPIL_272221",17325.0461287804,-8.46478324528294,1.79545518780896,-4.71456113344313,2.42232271468469e-06,0.000760552999324603
"NPIL_324001",5816.3055026539,-8.65369258253289,1.83420117519257,-4.71796262022587,2.38218248658368e-06,0.000760552999324603
"NPIL_691431",1034.51256260557,-9.09596555404282,1.95119485108652,-4.66174126534711,3.13545217261182e-06,0.000953114732774249
"NPIL_561331",4219.06732139962,-7.78038528375985,1.67157735150372,-4.65451705047376,3.24740965170102e-06,0.000953114732774249
"NPIL_800121",25354.4099601961,10.5037811031569,2.25583815172134,4.65626538638949,3.21996825861155e-06,0.000953114732774249
