,NPFM1,NPFM2,NPFM3,NPFM4
NPIL_800061,-0.32431596546032304,-0.6506288845126762,-0.511587753116124,1.4865326030891235
NPIL_800071,-0.23079093602943276,-0.612980549622685,-0.6304961340682409,1.4742676197203586
NPIL_800261,-0.3384844477249139,-0.6503233482150397,-0.49898358754585304,1.4877913834858065
NPIL_651241,-0.4086666947028283,-0.5852633888335349,-0.5021620254391009,1.4960921089754637
NPIL_800251,-0.7064280675061088,-0.4957476763767452,-0.27429215045356015,1.476467894336414
NPIL_800181,-0.4860839304122265,-0.4501974151177504,-0.5620858365577399,1.4983671820877162
NPIL_800051,-0.1615428716109802,-0.7393256339065055,-0.5549312219726529,1.4557997274901384
NPIL_327901,-0.5141315446190388,-0.5441968119046747,-0.44024005363248986,1.4985684101562036
NPIL_581281,0.5539213600769926,-0.8467857741571909,-0.8367361907987945,1.1296006048789924
NPIL_72651,-0.6395395744838748,-0.5873050750338573,-0.2507211773527095,1.477565826870441
NPIL_188801,-0.45331595022341337,-0.14222960169286017,-0.8417310935990719,1.4372766455153456
NPIL_609571,0.5794321057378331,-0.7982798201673266,-0.891341000905865,1.110188715335358
NPIL_800161,-0.5441935910162501,-0.5732318548987178,-0.37695248491258565,1.4943779308275535
NPIL_467421,-0.5558087146127954,-0.5558087146127954,-0.3834214731052873,1.4950389023308779
NPIL_171371,-0.5462421638873797,-0.5462421638873797,-0.4041467022002162,1.4966310299749754
NPIL_800121,-0.8479198163717672,-0.32268226293546337,-0.2783405318769912,1.4489426111842219
NPIL_62531,1.1325834690075678,0.36717799381780997,-0.2714495535518312,-1.228311909273546
NPIL_225001,-0.24498032822086835,-0.6702721951428987,-0.5601841903280284,1.475436713691796
NPIL_170021,-0.5342796403871113,-0.5342796403871113,-0.42961378304498066,1.4981730638192032
NPIL_574091,0.9916004381245767,0.6833370522343614,-1.1086432700244966,-0.5662942203344412
NPIL_800231,0.03203247232800711,-0.9832278465414556,-0.4131797323126365,1.364375106526085
NPIL_800011,1.3038124202658379,-0.08098419279057766,-0.08898694353901966,-1.1338412839362397
NPIL_72661,-0.5515037349851236,-0.6581653325343849,-0.27009757757534875,1.4797666450948574
NPIL_458401,-0.5589306954084009,-0.5589306954084009,-0.37658678463169043,1.4944481754484924
NPIL_800111,0.38251750990217076,-0.3535595850635039,-1.182438014296257,1.15348008945759
NPIL_282441,-0.9266194892686229,-0.2339554093494928,-0.2602998872873372,1.4208747859054534
NPIL_800031,0.6278132262022397,-0.9842651456571668,-0.7087756441629868,1.065227563617913
NPIL_84021,-0.7415127164846227,-0.48841003056034693,-0.2380508044358119,1.467973551480782
NPIL_72681,-0.8182339421677968,-0.3288314606231543,-0.31091163468481303,1.4579770374757643
NPIL_211411,-0.5,-0.5,-0.5,1.5
NPIL_132491,-0.5694863531204485,-0.5694863531204485,-0.3532110984958131,1.4921838047367102
NPIL_630111,-0.5610875623943358,-0.5610875623943358,-0.3718441042633914,1.494019229052063
NPIL_323751,0.6307643826053937,-0.4084126334870565,-1.2090409082214606,0.9866891591031239
NPIL_244881,0.836420638508966,0.8805787287517743,-1.018090103705124,-0.6989092635556157
NPIL_383561,1.075846710687669,0.6033691687704434,-1.0248328251624743,-0.6543830542956378
NPIL_581271,0.5377156107444032,-0.86720057750567,-0.8111019992790701,1.1405869660403374
NPIL_345541,0.6155554041016489,-0.7539524093373945,-0.9415117534413211,1.0799087586770668
NPIL_342611,0.5669765574928954,-0.7538688852169727,-0.9294797660258892,1.116372093749966
NPIL_581261,0.6039575895323286,-0.9054060677928805,-0.7900306412523164,1.0914791195128688
NPIL_621091,-0.5805948607573217,1.4893408182858117,-0.3281510967711686,-0.5805948607573217
NPIL_531581,1.2456655622607147,0.06258977967841373,-0.11161785233889175,-1.1966374896002376
NPIL_73961,0.2563878731829254,-0.687037663440576,-0.8731407420353366,1.3037905322929875
NPIL_391551,0.45178643543528696,-0.5511936530032646,-1.0654496713065305,1.1648568888745092
NPIL_275751,-0.8119099017467055,-0.45233510406433874,-0.18550747077379304,1.4497524765848373
NPIL_257271,-0.6603295080851057,-0.6603295080851057,-0.13209076014644566,1.4527497763166575
NPIL_285421,-0.6809099681216969,-0.49111761558619615,-0.3107416861018219,1.482769269809715
NPIL_520791,0.23472822554759334,-0.2698612240332609,-1.1806531000175127,1.2157860985031805
NPIL_581241,0.59015128599202,-0.9427825457478096,-0.7458308141310728,1.0984620738868618
NPIL_342621,0.4758995525226873,-0.7401965707038571,-0.914441715332811,1.1787387335139805
NPIL_305621,0.1843107549822691,-0.6725508382426948,-0.8500727489980754,1.338312832258501
