"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_553921",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_101111",5.62821129712003,5.72328846905146,6.42543367694674,5.45617339369186
"NPIL_101121",7.58532924346575,8.20532877393065,6.91895238785057,10.1103585722522
"NPIL_101131",2.95943441684119,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_678831",4.5647153067146,2.05236275430813,2.05236275430813,3.26924437970411
"NPIL_195111",2.05236275430813,3.86724851600029,4.11278196038181,4.72386711931353
"NPIL_698291",2.05236275430813,2.05236275430813,3.4620627836186,2.05236275430813
"NPIL_698301",7.40947549544871,8.9463517945046,9.39958612988891,8.40957351011586
"NPIL_698311",3.68835224399328,2.05236275430813,3.21777197388442,5.16949078280955
"NPIL_698321",4.89455185453864,4.91433465591476,4.86458776686313,6.35127393704367
"NPIL_698331",3.45447319287532,5.50141653364516,5.7465341228883,3.72883384707364
"NPIL_698341",15.5913364407291,14.8484300382693,9.39040224986827,14.3335397475438
"NPIL_698351",9.12874982458097,8.73792135573405,7.27247918004889,6.50868585516646
"NPIL_698361",3.78964869113197,3.51959818865201,4.23337069916826,3.72883384707364
"NPIL_434501",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_73331",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_446311",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_446321",2.05236275430813,3.51959818865201,2.64682596935298,2.05236275430813
"NPIL_622451",2.05236275430813,2.05236275430813,3.4620627836186,2.05236275430813
"NPIL_287001",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_389651",2.05236275430813,2.05236275430813,3.21777197388442,3.26924437970411
"NPIL_375021",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_375031",4.33269951067114,2.05236275430813,3.66103592681186,2.05236275430813
"NPIL_341411",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_186881",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_186891",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_186901",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608391",6.07348436132248,5.37595843876049,4.23337069916826,11.28403928516
"NPIL_608401",3.31564213109707,4.82005097194366,5.64656348717992,4.05771726498011
"NPIL_608411",4.12744648195683,3.86724851600029,3.34715224576723,5.73770638796592
"NPIL_608421",3.15467329560252,3.37516449836475,4.93497696312108,3.72883384707364
"NPIL_608431",4.5647153067146,4.05358578696283,3.66103592681186,6.55754323759856
"NPIL_608442",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608441",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608451",3.31564213109707,3.00351570403334,3.21777197388442,2.05236275430813
"NPIL_608461",2.95943441684119,3.37516449836475,3.4620627836186,4.31861787432746
"NPIL_608471",2.05236275430813,2.05236275430813,3.21777197388442,2.05236275430813
"NPIL_608481",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608482",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608491",4.71586289723572,5.69737409817454,6.24649021215091,5.89857318255389
"NPIL_608501",2.05236275430813,4.49081736349806,4.34377531761337,2.05236275430813
"NPIL_608511",3.96991087615591,2.05236275430813,3.21777197388442,4.53637155455269
"NPIL_608521",2.05236275430813,3.00351570403334,3.21777197388442,3.72883384707364
"NPIL_608531",4.66731528549315,5.27397618601095,6.43740074466602,4.72386711931353
"NPIL_608541",2.05236275430813,5.37595843876049,5.83995095340913,3.26924437970411
"NPIL_608551",5.93991125580456,7.23110671102013,5.53903506567778,6.71654300583581
"NPIL_608561",5.29290280286274,7.24895845367234,7.06477429802473,4.72386711931353
"NPIL_608571",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608581",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608591",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608601",2.05236275430813,3.00351570403334,3.4620627836186,2.05236275430813
"NPIL_608612",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608611",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
"NPIL_608613",2.05236275430813,4.21606562876586,3.21777197388442,2.05236275430813
"NPIL_80394",2.05236275430813,2.05236275430813,2.05236275430813,2.05236275430813
