"","Chr","Start","End","Strand","Length","NPFM1","NPFM2","NPFM3","NPFM4","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","FoldChange"
"NPIL_80394","BMAW01000086.1;BMAW01000086.1","625574;625652","625619;625689","-;-",84,1,4,0,0,1.64029316559157,-4.00945481751339,4.21311935857714,-0.951659441917039,0.34126972479272,0.891821718895381,-16.1052016287556
"NPIL_80395","BMAW01000181.1","15556","15629","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80396","BMAW01000220.1","106819","106890","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80397","BMAW01000441.1","179","260","+",82,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80159","BMAW01000801.1","19475","21738","-",2264,11,5,11,26,13.4954706935176,1.59250629085328,2.97784097139139,0.534785539641893,0.592798163390302,0.891821718895381,3.01572795514583
"NPIL_80160","BMAW01000801.1","21569","21732","-",164,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80161","BMAW01000801.1","23091","24752","-",1662,0,2,0,0,0.75270571412621,-2.86399280466654,4.85926394632269,-0.589388194653206,0.555600893974388,0.891821718895381,-7.28027428273396
"NPIL_80398","BMAW01000858.1","7317","7387","+",71,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80399","BMAW01000858.1","7860","7930","+",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80400","BMAW01000884.1","3767","3838","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80401","BMAW01000884.1","4433","4504","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80402","BMAW01000884.1","6243","6314","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80403","BMAW01000884.1","9092","9163","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80404","BMAW01000899.1","2523","2596","-",74,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80266","BMAW01000901.1","9375","10501","+",1127,45,15,14,29,23.4791284888066,0.00572826911259354,2.93267089510007,0.00195326012276536,0.998441524895803,0.998441524895803,1.00397842659639
"NPIL_80267","BMAW01000901.1","10503","11018","+",516,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80268","BMAW01000901.1","11898","13402","+",1505,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80405","BMAW01001021.1","706","777","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80406","BMAW01001021.1","1401","1472","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80407","BMAW01001021.1","4769","4840","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80408","BMAW01001021.1","5272","5343","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80409","BMAW01001021.1","5955","6026","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80410","BMAW01001021.1","8575","8646","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80418","BMAW01001021.1","306159","306230","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80417","BMAW01001021.1","314332","314403","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80416","BMAW01001021.1","317648","317719","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80415","BMAW01001021.1","320404","320475","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80414","BMAW01001021.1","323112","323183","-",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80413","BMAW01001021.1","325719","325790","-",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80411","BMAW01001021.1","437364","437437","+",74,0,1,3,0,1.18287833312168,1.29158594151956,4.36476305410181,0.2959120404728,0.767297255677436,0.900339757197484,2.44797010805858
"NPIL_80412","BMAW01001021.1","835557","835628","-",72,0,0,1,0,0.268841825352858,1.71066871988845,4.99654001345877,0.342370663555293,0.732071963045407,0.891821718895381,3.27312504586027
"NPIL_80419","BMAW01001040.1","129524","129595","-",72,0,0,2,0,0.537683650705716,2.69917582783982,4.89353184775603,0.551580312913985,0.581235927740693,0.891821718895381,6.4943080906042
"NPIL_80422","BMAW01001128.1","58820","58891","-",72,2,0,3,0,1.07628895073688,1.36684730127398,4.35420680375946,0.313914189857457,0.753586212811798,0.900339757197484,2.57906351184163
"NPIL_80421","BMAW01001128.1","61749","61820","-",72,0,0,1,2,0.820591611398242,3.30690522884662,4.51069964404429,0.73312467905348,0.463482389258249,0.891821718895381,9.8964097094499
"NPIL_80420","BMAW01001128.1","62873","62944","+",72,0,2,2,0,1.29038936483193,-0.427078948446214,4.29983812078598,-0.0993244248851272,0.920880686048255,0.976999608286085,-1.34450856753788
"NPIL_80423","BMAW01001207.1","490","561","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80424","BMAW01001207.1","2181","2252","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80427","BMAW01001315.1","462","536","-",75,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80426","BMAW01001315.1","1395","1467","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80425","BMAW01001315.1","1798","1870","-",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80293","BMAW01001332.1","98285","99029","-",745,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80151","BMAW01001739.1","141973","143779","+",1807,218,21,30,127,80.4089949127283,0.206979987524824,2.96295337038529,0.0698559719479853,0.944308296771575,0.982431541686559,1.15426940585298
"NPIL_80152","BMAW01001739.1","145037","147608","+",2572,12000,57,1884,3983,3245.34065879661,-0.0308634888930845,3.10544863703579,-0.00993849601149555,0.992070358015059,0.994958481328058,-1.02162340979527
"NPIL_80153","BMAW01001739.1","145042","145199","+",158,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80154","BMAW01001739.1","148935","149679","+",745,9,5,1,1,3.64041663974346,-2.50147548561155,3.25666166040391,-0.768110337044131,0.442421636153952,0.891821718895381,-5.66264263610754
"NPIL_80428","BMAW01001756.1","176485","176557","+",73,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80429","BMAW01001996.1","10001","10071","-",71,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NPIL_80430","BMAW01002027.1","1639","1710","+",72,0,0,0,0,0,NA,NA,NA,NA,NA,NA
