Gene ID,Chromosome,Gene Name,Description
NPIL_100001,BMAW01060649.1,pol_400,pro-Pol polyprotein
NPIL_10001,BMAW01082406.1,Unknown,putative neuropeptide receptor
NPIL_100011,BMAW01060649.1,Unknown,hypothetical protein
NPIL_100021,BMAW01060649.1,Unknown,hypothetical protein
NPIL_100031,BMAW01060649.1,AVEN_113473_1,uncharacterized protein
NPIL_100041,BMAW01060649.1,TIGD1,tigger transposable element-derived protein 1
NPIL_100051,BMAW01060649.1,Unknown,hypothetical protein
NPIL_100061,BMAW01060649.1,Unknown,hypothetical protein
NPIL_100071,BMAW01060649.1,Unknown,hypothetical protein
NPIL_100081,BMAW01018947.1,AVEN_238761_1,uncharacterized protein
NPIL_100091,BMAW01050620.1,Unknown,hypothetical protein
NPIL_1001,BMAW01060065.1,Unknown,hypothetical protein
NPIL_100101,BMAW01130053.1,Unknown,hypothetical protein
NPIL_10011,BMAW01082406.1,Unknown,hypothetical protein
NPIL_100111,BMAW01130053.1,Unknown,hypothetical protein
NPIL_100121,BMAW01064560.1,Nop16,nucleolar protein 16
NPIL_100131,BMAW01064560.1,Unknown,hypothetical protein
NPIL_100141,BMAW01032415.1,Cyp4c3,cytochrome P450 4c3
NPIL_100151,BMAW01110431.1,AVEN_271635_1,uncharacterized protein
NPIL_100161,BMAW01056149.1,Unknown,hypothetical protein
NPIL_100171,BMAW01013191.1,Unknown,hypothetical protein
NPIL_100181,BMAW01013191.1,Unknown,hypothetical protein
NPIL_100191,BMAW01013191.1,Unknown,hypothetical protein
NPIL_100201,BMAW01098929.1,Unknown,hypothetical protein
NPIL_10021,BMAW01082406.1,GTF2IRD2_383,general transcription factor II-I repeat domain-containing protein 2
NPIL_100211,BMAW01098929.1,AVEN_88831_1,RT_RNaseH_2 domain-containing protein
NPIL_100221,BMAW01014801.1,Unknown,hypothetical protein
NPIL_100231,BMAW01094231.1,Unknown,uncharacterized protein
NPIL_100241,BMAW01094231.1,Unknown,hypothetical protein
