# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_gene.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
NPIL_553921	BMAW01000022.1	3102	3340	+	239	0	0	0	0
NPIL_101111	BMAW01000023.1	11660	35153	-	23494	49	48	109	23
NPIL_101121	BMAW01000023.1	35835	53365	+	17531	217	307	158	701
NPIL_101131	BMAW01000023.1	124877	125224	-	348	2	0	0	0
NPIL_678831	BMAW01000025.1	11266	11922	-	657	19	0	0	2
NPIL_195111	BMAW01000035.1	20	2631	-	2612	0	8	14	12
NPIL_698291	BMAW01000036.1	4013	4504	-	492	0	0	6	0
NPIL_698301	BMAW01000036.1	5987	290968	+	284982	191	519	934	212
NPIL_698311	BMAW01000036.1	299442	301556	-	2115	7	0	4	18
NPIL_698321	BMAW01000036.1	314460	316778	-	2319	26	24	30	47
NPIL_698331	BMAW01000036.1	321300	326004	-	4705	5	40	64	4
NPIL_698341	BMAW01000036.1	326607	335815	+	9209	58264	31556	928	13186
NPIL_698351	BMAW01000036.1	366145	456776	+	90632	651	448	205	53
NPIL_698361	BMAW01000036.1	463240	467429	+	4190	8	5	16	4
NPIL_434501	BMAW01000039.1	995	1560	+	566	0	0	0	0
NPIL_73331	BMAW01000044.1	2	1029	+	1028	0	0	0	0
NPIL_446311	BMAW01000056.1	5231	5467	-	237	0	0	0	0
NPIL_446321	BMAW01000056.1	51482	88974	+	37493	0	5	1	0
NPIL_622451	BMAW01000058.1	627	980	-	354	0	0	6	0
NPIL_287001	BMAW01000065.1	1	1002	-	1002	0	0	0	0
NPIL_389651	BMAW01000069.1	5235	7026	+	1792	0	0	4	2
NPIL_375021	BMAW01000070.1	2191	2466	+	276	0	0	0	0
NPIL_375031	BMAW01000070.1	19194	43813	+	24620	15	0	8	0
NPIL_341411	BMAW01000081.1	1859	2263	-	405	0	0	0	0
NPIL_186881	BMAW01000084.1	13613	13927	-	315	0	0	0	0
NPIL_186891	BMAW01000084.1	33973	36119	+	2147	0	0	0	0
NPIL_186901	BMAW01000084.1	45672	51404	-	5733	0	0	0	0
NPIL_608391	BMAW01000086.1	515	6678	+	6164	70	36	16	1588
NPIL_608401	BMAW01000086.1	18139	35717	+	17579	4	22	59	6
NPIL_608411	BMAW01000086.1	45798	54921	-	9124	12	8	5	29
NPIL_608421	BMAW01000086.1	59122	67141	-	8020	3	4	32	4
NPIL_608431	BMAW01000086.1	75293	77011	+	1719	19	10	8	55
NPIL_608442	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	107757;111662;114629;117590;121258;130200;133274	107916;111911;114724;117799;121434;130307;133448	-;-;-;-;-;-;-	1176	0	0	0	0
NPIL_608441	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	107757;111662;114629;117590;121216;130200;133274	107916;111911;114724;117799;121434;130307;133448	-;-;-;-;-;-;-	1218	0	0	0	0
NPIL_608451	BMAW01000086.1	167160	170155	+	2996	4	2	4	0
NPIL_608461	BMAW01000086.1	293154	294410	-	1257	2	4	6	8
NPIL_608471	BMAW01000086.1	302118	304007	+	1890	0	0	4	0
NPIL_608481	BMAW01000086.1	314588	315961	-	1374	0	0	0	0
NPIL_608482	BMAW01000086.1	314588	314842	-	255	0	0	0	0
NPIL_608491	BMAW01000086.1	316954	335498	+	18545	22	47	95	33
NPIL_608501	BMAW01000086.1	354775	355885	-	1111	0	16	18	0
NPIL_608511	BMAW01000086.1	356299	360063	+	3765	10	0	4	10
NPIL_608521	BMAW01000086.1	370518	371498	-	981	0	2	4	4
NPIL_608531	BMAW01000086.1	375572	436769	-	61198	21	33	110	12
NPIL_608541	BMAW01000086.1	442694	452280	-	9587	0	36	69	2
NPIL_608551	BMAW01000086.1	485917	502065	-	16149	63	152	54	62
NPIL_608561	BMAW01000086.1	523027	586553	-	63527	37	154	176	12
NPIL_608571	BMAW01000086.1	594981	595235	+	255	0	0	0	0
NPIL_608581	BMAW01000086.1	595294	595716	+	423	0	0	0	0
NPIL_608591	BMAW01000086.1	595892	596495	+	604	0	0	0	0
NPIL_608601	BMAW01000086.1	596644	597372	+	729	0	2	6	0
NPIL_608612	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621335;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1626	0	0	0	0
NPIL_608611	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621335;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;662221;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;662310;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1716	0	0	0	0
NPIL_608613	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621335;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;662221;670338;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;662310;670379;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1758	0	12	4	0
NPIL_80394	BMAW01000086.1;BMAW01000086.1	625574;625652	625619;625689	-;-	84	0	0	0	0
NPIL_608621	BMAW01000086.1	707685	707951	+	267	0	0	0	0
NPIL_608631	BMAW01000086.1	739825	844183	+	104359	231	204	406	72
NPIL_608641	BMAW01000086.1	899038	928374	-	29337	1540	490	130	645
NPIL_608651	BMAW01000086.1	931170	932393	+	1224	9	18	2	8
NPIL_608661	BMAW01000086.1	944348	972783	-	28436	187	206	203	165
NPIL_608671	BMAW01000086.1	973232	1047882	+	74651	177	147	268	75
NPIL_608681	BMAW01000086.1	1062068	1062379	-	312	0	0	4	0
NPIL_608691	BMAW01000086.1	1062661	1063188	-	528	0	0	2	0
NPIL_608701	BMAW01000086.1	1063273	1074181	-	10909	0	8	37	0
NPIL_608711	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1081645;1083992;1084660;1085217;1086312;1091490;1091710;1092415;1096978;1100262;1105281;1106111;1111235;1111848;1112716;1113371;1113654	1081705;1084157;1084741;1085312;1086373;1091603;1091971;1092581;1097155;1100353;1105444;1106204;1111541;1111961;1112844;1113503;1113661	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2229	0	0	0	0
