# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "CDS" "-g" "transcript_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_transcript.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
unassigned_transcript_1	BMAW01000022.1	3102	3337	+	236	0	0	0	0
unassigned_transcript_2	BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1	11663;13809;14783;16049;17958;21587;23722;29966;34649;35142	11816;13948;14860;16228;18074;21706;23887;30043;34677;35153	-;-;-;-;-;-;-;-;-;-	1074	0	1	6	6
unassigned_transcript_3	BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1;BMAW01000023.1	35835;36212;37116;37236;40898;43855;44480;45244;46421;48187;49497;49684;52234;53219	35849;36219;37147;37371;41004;43988;44596;45382;46500;48309;49586;49807;52337;53362	+;+;+;+;+;+;+;+;+;+;+;+;+;+	1353	216	227	39	660
unassigned_transcript_4	BMAW01000023.1	124880	125224	-	345	2	0	0	0
unassigned_transcript_5	BMAW01000025.1	11269	11922	-	654	19	0	0	2
unassigned_transcript_6	BMAW01000035.1;BMAW01000035.1	23;1299	462;2631	-;-	1773	0	8	14	2
unassigned_transcript_7	BMAW01000036.1	4016	4504	-	489	0	0	6	0
unassigned_transcript_8	BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1	5987;154292;159985;172826;207502;208580;213243;221578;223775;225546;226806;227683;228855;235414;270426;278379;281024;286052;287460;290864	6164;154400;160054;172978;207666;208660;213413;221732;223886;225709;226948;227768;228936;235677;270572;278512;281106;286103;287597;290965	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2589	2	11	12	14
unassigned_transcript_9	BMAW01000036.1	299445	301556	-	2112	7	0	4	18
unassigned_transcript_10	BMAW01000036.1;BMAW01000036.1	314463;316685	314773;316778	-;-	405	26	8	2	40
unassigned_transcript_11	BMAW01000036.1;BMAW01000036.1;BMAW01000036.1	321303;321625;325920	321429;321691;326004	-;-;-	279	5	2	8	2
unassigned_transcript_12	BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1	326607;329201;333688;334748;335801	326643;329510;333864;334817;335812	+;+;+;+;+	606	58256	31543	899	13161
