Gene ID,protein_id,Preferred_Name,KEGG_KO,KEGG_Pathway,KEGG_Module,KEGG_EC,KEGG_BRITE,sseqid,pident,evalue,bitscore,NPFM1,NPFM2,NPFM3,NPFM4,Protein Description,GO_Terms,eggNOG_OGs
,GFS28098.1,,,,,,,126957.SMAR002116-PA,46.2,1.53e-302,1000.0,,,,,histone-lysine N-methyltransferase ASH1L [Nephila pilipes],,"38HZ1@33154,3BECC@33208,3CXS0@33213,41XBC@6656,COG0476@1,COG2940@1,KOG1083@2759,KOG2012@2759"
,GFS28101.1,,,,,,,7029.ACYPI29505-PA,43.1,2.86e-38,142.0,,,,,DUF4817 domain-containing protein [Nephila pilipes],,"2B4CP@1,2S0GP@2759,3A33R@33154,3BQUW@33208,3E422@33213,3SZNU@50557,41ZVH@6656"
,GFS28102.1,,,,,,,6500.XP_005094756.1,49.0,5.430000000000001e-29,112.0,,,,,spaetzle domain-containing protein [Nephila pilipes],,"2D68G@1,2S56H@2759,3A6DH@33154,3BT6P@33208,3D9IH@33213"
"NPIL_644611,",GFS28147.1,,,,,,,7029.ACYPI50455-PA,38.5,1.2999999999999999e-54,199.0,,,,,"uncharacterized protein NPIL_644611, partial [Nephila pilipes]",,"38F42@33154,3BZVU@33208,3DJF9@33213,422CH@6656,COG2801@1,KOG0017@2759"
,GFS28179.1,v1g96024,ko:K01581,"map01100,ko00480,map00480,map01110,ko01110,ko01100,map00330,ko00330,ko01130,map01130",M00134,4.1.1.17,"ko01000,ko00001,ko00000,ko00002",45351.EDO44188,48.7,1.58e-127,380.0,,,,,ornithine decarboxylase 1 [Nephila pilipes],,"38CIN@33154,3BDIS@33208,COG0019@1,KOG0622@2759"
,GFS28189.1,6031136,ko:K04946,,,,"ko04040,ko00000",7176.CPIJ000215-PA,83.7,6.17e-17,79.3,,,,,"potassium channel subfamily T member 1, partial [Nephila pilipes]",,"38E39@33154,3B9HM@33208,3CSWY@33213,3SJBC@50557,41YGT@6656,452CA@7147,45E04@7148,KOG3193@1,KOG3193@2759"
,GFS28261.1,107368421,,,,,,32264.tetur26g01810.1,39.6,3.97e-61,202.0,,,,,"metallophos domain-containing protein, partial [Nephila pilipes]",,"391PG@33154,3BR0B@33208,3D7HC@33213,COG0639@1,KOG0371@2759"
,GFS28289.1,,,,,,,126957.SMAR010323-PA,76.1,0.0,1255.0,,,,,small G protein signaling modulator 3 homolog [Nephila pilipes],,"38H96@33154,3BBCB@33208,3CR51@33213,41Y6Q@6656,COG5210@1,KOG2222@2759"
,GFS28292.1,L798_06399,ko:K03103,"map01100,ko00562,map00562,ko01100,map00010,ko00010",,"3.1.3.80,3.1.3.62","ko01000,ko00001,ko00000",136037.KDR19043,33.1,3.91e-65,233.0,,,,,multiple inositol polyphosphate phosphatase 1 [Nephila pilipes],,"38GUJ@33154,3BC3S@33208,3CVYV@33213,3SJIU@50557,41X84@6656,KOG1382@1,KOG1382@2759"
,GFS28294.1,,ko:K19685,,,,"ko03036,ko00000",10228.TriadP60813,73.3,3.68e-304,840.0,,,,,intraflagellar transport protein 56 [Nephila pilipes],,"38WM9@33154,3BCZ9@33208,KOG3785@1,KOG3785@2759"
,GFS28296.1,G5I_10916,ko:K17413,,,,"br01610,ko03011,ko00000",103372.F4WY59,52.8,3.65e-108,325.0,,,,,"28S ribosomal protein S35, mitochondrial [Nephila pilipes]",,"39338@33154,3B9NS@33208,3D1NA@33213,3SJHI@50557,41XET@6656,46I98@7399,KOG3933@1,KOG3933@2759"
,GFS28299.1,,,,,,,7029.ACYPI083390-PA,68.5,3.24e-93,290.0,,,,,protein ZBED8 [Nephila pilipes],,"2CN11@1,2QT83@2759,38D3X@33154,3BDRF@33208,3CX54@33213,3SIMU@50557,41XCG@6656"
,GFS28303.1,,ko:K14994,,,,"ko02000,ko00000",32264.tetur03g08310.1,52.9,5.66e-141,425.0,,,,,putative sodium-coupled neutral amino acid transporter 7 [Nephila pilipes],,"39P4I@33154,3BAV6@33208,3CTE6@33213,41V3E@6656,COG0814@1,KOG1305@2759"
